模仿游戏,2014,8.8,647364
阳光姐妹淘,2011,8.8,591166
我是山姆,2001,9.0,338402
色，戒,2007,8.7,809133
花样年华,2000,8.7,608054
血战钢锯岭,2016,8.7,783747
恐怖直播,2013,8.7,652664
七武士,1954,9.3,198519
头脑特工队,2015,8.8,614838
惊魂记,1960,9.0,295080
黑客帝国3：矩阵革命,2003,8.8,447682
你的名字。,2016,8.5,1411399
电锯惊魂,2004,8.7,533806
三块广告牌,2017,8.7,821364
达拉斯买家俱乐部,2013,8.8,453188
疯狂原始人,2013,8.7,840251
心迷宫,2014,8.7,522050
谍影重重3,2007,8.8,418883
上帝之城,2002,9.0,301798
英雄本色,1986,8.6,542136
卢旺达饭店,2004,8.9,330341
风之谷,1984,8.9,355094
纵横四海,1991,8.8,426337
海街日记,2015,8.8,449720
爱在午夜降临前,2013,8.9,403248
绿里奇迹,1999,8.9,330252
记忆碎片,2000,8.7,601607
疯狂的石头,2006,8.6,823076
岁月神偷,2010,8.7,574711
小丑,2019,8.7,1007086
忠犬八公物语,1987,9.2,196429
雨中曲,1952,9.1,226271
背靠背，脸对脸,1994,9.5,134329
荒蛮故事,2014,8.8,444393
2001太空漫游,1968,8.9,329953
小偷家族,2018,8.7,813382
无间道2,2003,8.7,479543
心灵奇旅,2020,8.7,982750
无敌破坏王,2012,8.7,539515
爆裂鼓手,2014,8.7,588924
冰川时代,2002,8.6,614580
贫民窟的百万富翁,2008,8.6,745723
恐怖游轮,2009,8.5,864270
东邪西毒,1994,8.6,577318
牯岭街少年杀人事件,1991,8.9,300906
魔女宅急便,1989,8.7,460603
遗愿清单,2007,8.7,461881
东京教父,2003,9.0,230764
大佛普拉斯,2017,8.7,458598
你看起来好像很好吃,2010,8.9,333349
真爱至上,2003,8.6,731929
黑天鹅,2010,8.6,779748
可可西里,2004,8.9,303667
城市之光,1931,9.3,146775
源代码,2011,8.5,835585
雨人,1988,8.7,404321
海边的曼彻斯特,2016,8.6,540780
恋恋笔记本,2004,8.5,671691
初恋这件小事,2010,8.5,980983
波西米亚狂想曲,2018,8.6,604989
人工智能,2001,8.7,447138
青蛇,1993,8.6,527374
虎口脱险,1966,8.9,257506
终结者2：审判日,1991,8.8,342224
疯狂的麦克斯4：狂暴之路,2015,8.7,531129
罗生门,1950,8.8,314941
新龙门客栈,1992,8.7,444991
萤火虫之墓,1988,8.7,405221
末路狂花,1991,8.9,256785
千钧一发,1997,8.8,299325
崖上的波妞,2008,8.6,498261
无耻混蛋,2009,8.6,478115
彗星来的那一夜,2013,8.6,580569
奇迹男孩,2017,8.6,551752
花束般的恋爱,2021,8.6,624803
二十二,2015,8.7,291630
爱乐之城,2016,8.4,898755
黑客帝国2：重装上阵,2003,8.7,406907
芙蓉镇,1987,9.3,139026
血钻,2006,8.7,380459
战争之王,2005,8.7,369127
房间,2015,8.8,368061
步履不停,2008,8.8,280017
魂断蓝桥,1940,8.8,279047
哈利·波特与死亡圣器(上),2010,8.5,576201
火星救援,2015,8.5,728062
千年女优,2001,8.8,267728
谍影重重2,2004,8.7,352980
弱点,2009,8.7,309143
白日梦想家,2013,8.6,479003
阿飞正传,1990,8.5,511300
哈利·波特与凤凰社,2007,8.5,569747
谍影重重,2002,8.6,427052
燃情岁月,1994,8.8,287051
朗读者,2008,8.6,453508
蜘蛛侠：平行宇宙,2018,8.6,663320
再次出发之纽约遇见你,2013,8.6,426849
香水,2006,8.5,544361
发条橙,1971,8.6,364439
