1186,蔬菜,1489092,芋头,5.0,5.1,5.2,斤,鲁,2023-08-20 00:00:00
1186,蔬菜,1489091,姜,5.0,5.5,6.0,斤,鲁,2023-08-20 00:00:00
1186,蔬菜,1489090,姜,8.0,9.5,11.0,斤,鲁,2023-08-20 00:00:00
1189,肉禽蛋,1489349,羊肝,7.0,7.0,7.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489348,羊心,16.0,16.5,17.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489347,羊肠,14.0,14.0,14.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489346,羊肚,19.0,19.0,19.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489345,羊鞭,75.0,75.0,75.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489344,羊宝,35.0,35.5,36.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489343,羊骨头,10.0,10.0,10.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489342,羊上脑,31.0,31.5,32.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489341,羊腩,22.0,23.0,24.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489340,羊里脊,29.0,30.0,31.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489339,淘汰鸡,11.0,11.25,11.5,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489338,淘汰鸡,10.5,10.5,10.5,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489337,仔鸡,7.3,7.4,7.5,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489336,肉鸡,7.3,7.4,7.5,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489335,鸡胸,6.5,6.75,7.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489334,鸡翅,12.0,12.0,12.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489333,鸡翅尖,7.5,7.5,7.5,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489332,鸡翅中,21.0,21.5,22.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489331,鸡翅根,8.0,8.25,8.5,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489330,鸡边腿,6.5,6.75,7.0,斤,,2023-08-21 00:00:00
1186,蔬菜,1489629,黄豆芽,0.85,0.88,0.9,斤,,2023-08-21 00:00:00
1186,蔬菜,1489628,番茄,1.0,1.25,1.5,斤,冀,2023-08-21 00:00:00
1186,蔬菜,1489627,番茄,1.3,1.65,2.0,斤,冀,2023-08-21 00:00:00
1186,蔬菜,1489626,番茄,2.0,2.25,2.5,斤,蒙,2023-08-21 00:00:00
1186,蔬菜,1489625,黄瓜,1.0,1.35,1.7,斤,鲁辽冀,2023-08-21 00:00:00
1186,蔬菜,1489624,黄瓜,2.0,2.5,3.0,斤,冀,2023-08-21 00:00:00
1186,蔬菜,1489623,小黄瓜,3.5,4.0,4.5,斤,辽冀,2023-08-21 00:00:00
1186,蔬菜,1489622,小黄瓜,4.0,4.35,4.7,斤,辽鲁,2023-08-21 00:00:00
1186,蔬菜,1489621,茄子,0.9,1.55,2.2,斤,冀鲁冀蒙,2023-08-21 00:00:00
1186,蔬菜,1489620,长茄,1.0,1.6,2.2,斤,冀辽晋,2023-08-21 00:00:00
1186,蔬菜,1489619,线茄,1.0,1.5,2.0,斤,冀京,2023-08-21 00:00:00
1186,蔬菜,1489618,广茄,1.0,1.75,2.5,斤,京,2023-08-21 00:00:00
1186,蔬菜,1489617,冬瓜,0.4,0.48,0.55,斤,冀辽,2023-08-21 00:00:00
1186,蔬菜,1489616,冬瓜,0.3,0.35,0.4,斤,冀豫,2023-08-21 00:00:00
1186,蔬菜,1489615,毛冬瓜,0.5,0.6,0.7,斤,豫,2023-08-21 00:00:00
1186,蔬菜,1489614,架豆,2.8,4.5,6.2,斤,冀晋云,2023-08-21 00:00:00
1186,蔬菜,1489613,豆王,2.8,3.65,4.5,斤,冀辽云晋,2023-08-21 00:00:00
1186,蔬菜,1489612,扁豆,3.0,3.75,4.5,斤,冀晋,2023-08-21 00:00:00
1186,蔬菜,1489611,豇豆,2.6,3.3,4.0,斤,鲁冀豫,2023-08-21 00:00:00
1186,蔬菜,1489610,白不老,2.0,3.25,4.5,斤,冀辽晋,2023-08-21 00:00:00
1189,肉禽蛋,1489389,牛后腱,34.0,34.0,34.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489388,牛前腿,30.0,30.0,30.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489387,牛后腿,30.0,30.0,30.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489386,牛腰窝,32.0,32.0,32.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489385,肥牛,28.0,30.0,32.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489384,牛柳,34.0,34.5,35.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489383,精牛柳,36.0,36.5,37.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489382,牛腩,30.0,30.0,30.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489381,牛林,30.0,30.0,30.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489380,牛金钱腱,50.0,50.0,50.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489379,牛筋头巴脑,27.0,27.5,28.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489378,牛宝,18.0,18.0,18.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489377,牛鞭,65.0,66.5,68.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489376,牛油,5.0,5.0,5.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489375,牛心,7.0,7.5,8.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489374,牛舌,32.0,33.0,34.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489373,牛骨,4.0,4.0,4.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489372,牛排骨,29.0,29.5,30.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489371,牛蹄筋,24.0,24.5,25.0,斤,,2023-08-21 00:00:00
1189,肉禽蛋,1489370,牛板筋,35.0,35.0,35.0,斤,,2023-08-21 00:00:00
1186,蔬菜,1489609,油豆,3.5,4.0,4.5,斤,冀,2023-08-21 00:00:00
1186,蔬菜,1489608,毛豆,2.8,3.0,3.2,斤,冀苏川,2023-08-21 00:00:00
1186,蔬菜,1489607,花生,3.0,4.25,5.5,斤,冀苏川皖,2023-08-21 00:00:00
1186,蔬菜,1489606,玉米,0.8,1.0,1.2,斤,冀,2023-08-21 00:00:00
1186,蔬菜,1489605,玉米,0.8,1.0,1.2,斤,冀,2023-08-21 00:00:00
1186,蔬菜,1489604,苦瓜,1.2,1.5,1.8,斤,鲁冀,2023-08-21 00:00:00
1186,蔬菜,1489603,丝瓜,1.5,2.5,3.5,斤,冀鲁豫,2023-08-21 00:00:00
